,rouge_l,bleu,meteor,bertscore
full,0.3208053405344346,18.40298663040851,0.31526554591389405,0.8145371079444885
no_memory,0.3160268055991075,17.60102117964492,0.3364627735946197,0.8159593343734741
no_outline,0.3159491435482109,17.906349879398796,0.3354565765233005,0.8191920518875122
with_premise,0.25053455396422647,11.654088952797018,0.27023382542044055,0.764961838722229
sent_outline,0.5968555900025388,44.49594092756484,0.636612428369379,0.9037244915962219
wp_models,0.13807260823070658,2.482155179226113,0.197549276835657,0.7179691791534424
